forward1,forward3,forward6,spot
0.9025,0.9025,0.9006,0.8998
0.9088,0.9088,0.9115,0.9080
0.9025,0.9025,0.9040,0.9020
0.9079,0.9073,0.9037,0.9082
0.9188,0.9163,0.9121,0.9203
0.9239,0.9205,0.9163,0.9247
0.9375,0.9340,0.9299,0.9381
0.9373,0.9333,0.9297,0.9382
0.9416,0.9369,0.9338,0.9429
0.9554,0.9500,0.9458,0.9574
0.9618,0.9565,0.9518,0.9648
0.9526,0.9477,0.9443,0.9553
0.9358,0.9314,0.9276,0.9384
0.9360,0.9321,0.9298,0.9393
0.9181,0.9157,0.9147,0.9202
0.9206,0.9168,0.9155,0.9231
0.9185,0.9152,0.9136,0.9208
0.9223,0.9172,0.9159,0.9253
0.9057,0.9029,0.9020,0.9082
0.9000,0.8994,0.8997,0.9020
0.9010,0.9002,0.9009,0.9032
0.8947,0.8932,0.8942,0.8970
0.8930,0.8922,0.8929,0.8941
0.8941,0.8934,0.8944,0.8954
0.8832,0.8829,0.8840,0.8843
0.8630,0.8634,0.8626,0.8643
0.8559,0.8571,0.8609,0.8562
0.8218,0.8219,0.8254,0.8224
0.8270,0.8276,0.8305,0.8273
0.8284,0.8284,0.8310,0.8290
0.8301,0.8302,0.8320,0.8305
0.8428,0.8431,0.8452,0.8427
0.8429,0.8438,0.8474,0.8432
0.8545,0.8572,0.8610,0.8542
0.8533,0.8557,0.8596,0.8529
0.8329,0.8360,0.8403,0.8318
0.8373,0.8398,0.8429,0.8363
0.8336,0.8354,0.8370,0.8321
0.8294,0.8296,0.8298,0.8288
0.8339,0.8351,0.8357,0.8332
0.8318,0.8324,0.8324,0.8315
0.8296,0.8293,0.8293,0.8297
0.8433,0.8423,0.8401,0.8436
0.8484,0.8474,0.8454,0.8487
0.8635,0.8619,0.8575,0.8638
0.8598,0.8587,0.8544,0.8606
0.8554,0.8537,0.8487,0.8565
0.8562,0.8536,0.8464,0.8577
0.8528,0.8495,0.8407,0.8545
0.8461,0.8429,0.8353,0.8478
